Downloaded from wid.world on 21-02-2019 at 10:56:11
Country;Percentile;"anninc_992_i_2015
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
2015";"anweal_992_i_2015
Market-value national wealth
Total population | average income or wealth | adults | individual |  | ppp | constant (2017)
2015"
 Senegal;pall;3618.7844;
 Serbia;pall;11132.7868;
 Seychelles;pall;22302.7341;
 Sierra Leone;pall;2025.3016;
 Singapore;pall;71324.7098;
 Slovakia;pall;22641.6383;
 Slovenia;pall;22614.4997;
 Solomon Islands;pall;2820.4659;
 Somalia;pall;453.4289;
 South Africa;pall;14135.0136;
 South America;pall;15653.6689;
 South Sudan;pall;4115.265;
 South-Eastern Asia;pall;11015.543;
 Southern Africa;pall;14016.2793;
 Southern Asia;pall;6779.8613;
 Spain;pall;28046.0514;
 Sri Lanka;pall;12567.2671;
 Sub-Saharan Africa;pall;5532.5864;
 Sub-Saharan Africa, Market Exchange Rate;pall;5500.5404;
 Sudan;pall;5471.0271;
 Suriname;pall;16696.7379;
 Swaziland;pall;11997.7773;
 Sweden;pall;44295.8532;245675.5577
 Switzerland;pall;47141.8593;
 Syrian Arab Republic;pall;5291.0571;
 Taiwan;pall;38786.3564;
 Tajikistan;pall;4338.2202;
 Tanzania;pall;4252.6135;
 Thailand;pall;13254.1986;
 Timor-Leste;pall;13953.0888;
 Togo;pall;2454.8973;
 Tonga;pall;7525.6631;
 Trinidad and Tobago;pall;30304.0419;
 Tunisia;pall;10692.7105;
 Turkey;pall;24424.4784;
 Turkmenistan;pall;17777.5444;
 US Virgin Islands;pall;31159.0715;
 USA;pall;51806.6405;249950.4528
 USSR;pall;;
 Uganda;pall;3692.1446;
 Ukraine;pall;6563.4348;
 United Arab Emirates;pall;55991.8582;
 United Kingdom;pall;36218.7128;219142.1063
 Uruguay;pall;19169.5558;
 Uzbekistan;pall;6844.0464;
 Vanuatu;pall;4057.3318;
 Venezuela;pall;18946.5806;
 Viet Nam;pall;5985.1869;
 Western Africa;pall;6555.9009;
 Western Asia;pall;28861.7129;
 Western Europe;pall;34291.6289;
 World;pall;16038.0723;
 Yemen;pall;3531.8486;
 Yugoslavia;pall;;
 Zambia;pall;5982.2296;
 Zanzibar;pall;3905.4334;
 Zimbabwe;pall;3030.762;
 null;pall;30320.387;
 null;pall;50273.8604;
 null;pall;31459.5664;
